"","website","quality"
"1","3","factually correct"
"2","3","factually correct"
"3","1","mostly correct"
"4","3","mostly correct"
"5","2","factually correct"
"6","2","factually correct"
"7","3","factually correct"
"8","1","mostly correct"
"9","2","mostly correct"
"10","3","mostly correct"
"11","2","factually correct"
"12","3","factually correct"
"13","3","mostly correct"
"14","1","factually correct"
"15","2","factually correct"
"16","3","mostly correct"
"17","3","factually correct"
"18","1","factually correct"
"19","2","factually correct"
"20","2","mostly correct"
"21","3","factually correct"
"22","1","factually correct"
"23","3","fake news"
"24","3","fake news"
"25","1","factually correct"
"26","2","factually correct"
"27","2","mostly correct"
"28","3","fake news"
"29","2","factually correct"
"30","3","mostly correct"
"31","3","factually correct"
"32","3","mostly correct"
"33","2","mostly correct"
"34","3","factually correct"
"35","1","mostly correct"
"36","3","factually correct"
"37","1","mostly correct"
"38","1","factually correct"
"39","3","factually correct"
"40","2","factually correct"
"41","2","fake news"
"42","2","factually correct"
"43","1","mostly correct"
"44","3","factually correct"
"45","2","factually correct"
"46","3","factually correct"
"47","3","mostly correct"
"48","2","factually correct"
"49","3","factually correct"
"50","2","factually correct"
"51","2","factually correct"
"52","2","factually correct"
"53","2","mostly correct"
"54","3","mostly correct"
"55","1","factually correct"
"56","3","mostly correct"
"57","3","mostly correct"
"58","1","factually correct"
"59","1","fake news"
"60","2","factually correct"
"61","3","factually correct"
"62","3","mostly correct"
"63","3","factually correct"
"64","2","factually correct"
"65","3","mostly correct"
"66","1","factually correct"
"67","1","factually correct"
"68","3","factually correct"
"69","3","factually correct"
"70","1","mostly correct"
"71","1","mostly correct"
"72","1","fake news"
"73","1","mostly correct"
"74","2","factually correct"
"75","1","mostly correct"
"76","3","mostly correct"
"77","1","factually correct"
"78","2","fake news"
"79","2","factually correct"
"80","1","factually correct"
"81","2","mostly correct"
"82","1","factually correct"
"83","2","mostly correct"
"84","2","mostly correct"
"85","3","factually correct"
"86","2","factually correct"
"87","1","factually correct"
"88","1","mostly correct"
"89","1","mostly correct"
"90","1","factually correct"
"91","3","mostly correct"
"92","1","fake news"
"93","1","mostly correct"
"94","3","factually correct"
"95","3","mostly correct"
"96","3","mostly correct"
"97","1","mostly correct"
"98","2","factually correct"
"99","3","factually correct"
"100","2","factually correct"
"101","2","fake news"
"102","1","factually correct"
"103","1","mostly correct"
"104","2","factually correct"
"105","3","factually correct"
"106","3","factually correct"
"107","3","fake news"
"108","3","factually correct"
"109","2","mostly correct"
"110","1","mostly correct"
"111","2","mostly correct"
"112","3","factually correct"
"113","3","factually correct"
"114","2","factually correct"
"115","2","factually correct"
"116","2","factually correct"
"117","1","mostly correct"
"118","2","factually correct"
"119","2","mostly correct"
"120","3","mostly correct"
"121","2","mostly correct"
"122","2","factually correct"
"123","2","fake news"
"124","2","factually correct"
"125","3","factually correct"
"126","2","mostly correct"
"127","3","factually correct"
"128","3","factually correct"
"129","1","mostly correct"
"130","3","mostly correct"
"131","3","factually correct"
"132","2","fake news"
"133","2","mostly correct"
"134","3","mostly correct"
"135","3","factually correct"
"136","2","factually correct"
"137","3","fake news"
"138","1","fake news"
"139","3","factually correct"
"140","2","mostly correct"
"141","1","factually correct"
"142","1","mostly correct"
"143","2","factually correct"
"144","3","fake news"
"145","3","mostly correct"
"146","3","factually correct"
"147","1","mostly correct"
"148","3","factually correct"
"149","1","factually correct"
"150","1","factually correct"
"151","3","factually correct"
"152","1","factually correct"
"153","3","mostly correct"
"154","2","factually correct"
"155","3","mostly correct"
"156","3","factually correct"
"157","1","mostly correct"
"158","1","factually correct"
"159","1","factually correct"
"160","3","mostly correct"
"161","3","factually correct"
"162","2","mostly correct"
"163","2","mostly correct"
"164","1","factually correct"
"165","2","mostly correct"
"166","1","fake news"
"167","2","factually correct"
"168","1","factually correct"
"169","1","factually correct"
"170","1","factually correct"
"171","3","factually correct"
"172","2","mostly correct"
"173","2","factually correct"
"174","2","mostly correct"
"175","2","factually correct"
"176","1","mostly correct"
"177","3","factually correct"
"178","2","factually correct"
"179","3","mostly correct"
"180","3","factually correct"
"181","3","factually correct"
"182","3","factually correct"
"183","1","factually correct"
"184","1","factually correct"
"185","3","mostly correct"
"186","3","mostly correct"
"187","3","factually correct"
"188","3","mostly correct"
"189","1","mostly correct"
"190","1","mostly correct"
"191","1","factually correct"
"192","3","factually correct"
"193","1","mostly correct"
"194","1","mostly correct"
"195","1","mostly correct"
"196","1","mostly correct"
"197","2","factually correct"
"198","1","factually correct"
"199","3","fake news"
"200","3","fake news"
"201","3","factually correct"
"202","2","fake news"
"203","3","mostly correct"
"204","2","mostly correct"
"205","1","mostly correct"
"206","2","factually correct"
"207","3","factually correct"
"208","2","factually correct"
"209","1","factually correct"
"210","1","factually correct"
"211","2","mostly correct"
"212","2","fake news"
"213","2","factually correct"
"214","1","mostly correct"
"215","2","factually correct"
"216","3","mostly correct"
"217","2","mostly correct"
"218","2","factually correct"
"219","2","mostly correct"
"220","3","factually correct"
"221","2","factually correct"
"222","1","mostly correct"
"223","2","factually correct"
"224","3","factually correct"
"225","1","factually correct"
"226","3","factually correct"
"227","1","factually correct"
"228","1","factually correct"
"229","1","factually correct"
"230","1","factually correct"
"231","2","factually correct"
"232","1","mostly correct"
"233","1","mostly correct"
"234","1","fake news"
"235","3","factually correct"
"236","3","mostly correct"
"237","1","factually correct"
"238","3","factually correct"
"239","2","mostly correct"
"240","2","mostly correct"
"241","1","mostly correct"
"242","2","factually correct"
"243","1","mostly correct"
"244","1","mostly correct"
"245","2","factually correct"
"246","2","mostly correct"
"247","1","mostly correct"
"248","1","fake news"
"249","2","fake news"
"250","3","factually correct"
"251","2","mostly correct"
"252","1","mostly correct"
"253","1","factually correct"
"254","2","mostly correct"
"255","1","mostly correct"
"256","3","mostly correct"
"257","1","factually correct"
"258","2","factually correct"
"259","2","factually correct"
"260","2","mostly correct"
"261","3","mostly correct"
"262","1","mostly correct"
"263","1","factually correct"
"264","3","mostly correct"
"265","2","mostly correct"
"266","1","mostly correct"
"267","3","factually correct"
"268","1","factually correct"
"269","3","factually correct"
"270","3","mostly correct"
"271","1","factually correct"
"272","3","mostly correct"
"273","2","factually correct"
"274","1","factually correct"
"275","3","factually correct"
"276","2","mostly correct"
"277","1","factually correct"
"278","2","factually correct"
"279","2","factually correct"
"280","2","mostly correct"
"281","2","factually correct"
"282","1","fake news"
"283","1","fake news"
"284","3","fake news"
"285","1","factually correct"
"286","1","factually correct"
"287","2","factually correct"
"288","1","mostly correct"
"289","2","mostly correct"
"290","1","mostly correct"
"291","3","fake news"
"292","3","mostly correct"
"293","1","mostly correct"
"294","2","fake news"
"295","1","mostly correct"
"296","1","factually correct"
"297","3","factually correct"
"298","2","mostly correct"
"299","1","fake news"
"300","1","factually correct"
"301","2","factually correct"
"302","2","factually correct"
"303","1","factually correct"
"304","1","factually correct"
"305","3","factually correct"
"306","3","factually correct"
"307","2","mostly correct"
"308","1","factually correct"
"309","1","fake news"
"310","1","fake news"
"311","1","fake news"
"312","3","mostly correct"
"313","2","factually correct"
"314","1","factually correct"
"315","1","mostly correct"
"316","3","mostly correct"
"317","1","fake news"
"318","2","factually correct"
"319","3","factually correct"
"320","3","mostly correct"
"321","2","factually correct"
"322","2","factually correct"
"323","1","factually correct"
"324","1","factually correct"
"325","2","mostly correct"
"326","3","factually correct"
"327","2","fake news"
"328","3","fake news"
"329","3","mostly correct"
"330","3","fake news"
"331","3","mostly correct"
"332","1","mostly correct"
"333","1","factually correct"
"334","2","factually correct"
"335","3","mostly correct"
"336","2","factually correct"
"337","2","factually correct"
"338","1","mostly correct"
"339","3","factually correct"
"340","1","factually correct"
"341","2","mostly correct"
"342","1","factually correct"
"343","3","mostly correct"
"344","2","factually correct"
"345","1","mostly correct"
"346","1","factually correct"
"347","3","factually correct"
"348","2","factually correct"
"349","3","mostly correct"
"350","3","factually correct"
"351","2","fake news"
"352","2","mostly correct"
"353","1","factually correct"
"354","1","mostly correct"
"355","3","mostly correct"
"356","2","factually correct"
"357","3","mostly correct"
"358","3","factually correct"
"359","2","factually correct"
"360","2","mostly correct"
"361","2","factually correct"
"362","2","fake news"
"363","1","factually correct"
"364","3","mostly correct"
"365","2","mostly correct"
"366","2","mostly correct"
"367","2","fake news"
"368","3","factually correct"
"369","2","factually correct"
"370","1","mostly correct"
"371","1","factually correct"
"372","1","mostly correct"
"373","3","factually correct"
"374","1","factually correct"
"375","3","factually correct"
"376","3","fake news"
"377","1","factually correct"
"378","1","factually correct"
"379","1","factually correct"
"380","3","factually correct"
"381","2","factually correct"
"382","2","factually correct"
"383","2","factually correct"
"384","1","factually correct"
"385","2","mostly correct"
"386","3","mostly correct"
"387","1","factually correct"
"388","3","mostly correct"
"389","1","fake news"
"390","1","factually correct"
"391","3","mostly correct"
"392","2","mostly correct"
"393","2","factually correct"
"394","1","mostly correct"
"395","3","mostly correct"
"396","2","factually correct"
"397","3","factually correct"
"398","3","factually correct"
"399","2","mostly correct"
"400","1","factually correct"
"401","1","mostly correct"
"402","2","mostly correct"
"403","2","factually correct"
"404","2","factually correct"
"405","3","mostly correct"
"406","1","factually correct"
"407","3","mostly correct"
"408","1","fake news"
"409","1","factually correct"
"410","2","fake news"
"411","1","fake news"
"412","2","mostly correct"
"413","1","factually correct"
"414","3","factually correct"
"415","1","factually correct"
"416","1","mostly correct"
"417","1","factually correct"
"418","3","factually correct"
"419","2","factually correct"
"420","1","factually correct"
"421","1","mostly correct"
"422","2","mostly correct"
"423","3","factually correct"
"424","3","mostly correct"
"425","2","factually correct"
"426","1","mostly correct"
"427","2","factually correct"
"428","2","factually correct"
"429","3","fake news"
"430","2","mostly correct"
"431","2","fake news"
"432","2","mostly correct"
"433","2","mostly correct"
"434","1","mostly correct"
"435","3","fake news"
"436","1","factually correct"
"437","2","factually correct"
"438","1","factually correct"
"439","1","mostly correct"
"440","2","mostly correct"
"441","2","factually correct"
"442","3","factually correct"
"443","2","mostly correct"
"444","3","factually correct"
"445","1","factually correct"
"446","2","fake news"
"447","1","factually correct"
"448","3","factually correct"
"449","2","mostly correct"
"450","1","mostly correct"
